	text	emotion
2022	While at school I had to write an essay for doing something wrong á that I didn't do. I wrote the essay about how I was mistreated and á got Saturday morning detention along with a few other kids, but á they didn't show up.	3
2023	When one of my closest friends died unexpectantly.	4
2024	When I saw a male engineer one year and came back to find he was á now a female (I don't know it/them personally).	5
2025	When Dad went to a Sports Day and was the only parent there, and á he was cheering for us.	6
2026	We owned a shop and I used to serve in it occasionally. We á sometimes took lollies out of the stand and Dad caught me one á day.	7
2027	On holidays - just driving along a road beautiful scenery. Just á with my boyfriend - not really talking but just feeling á overwhelmed.	1
2028	Lying to a friend about something that was trivial.	6
2029	I had promised to do a task for someone that was close to me, and á from the outset I knew it was important that I do it, but when it á came to it, I let them down.	7
2030	Good news about a sick relative.	1
2031	Walking in the dark by myself.	2
2032	Getting terrible meals, but paying heaps for them.	3
2033	When felt lonely about writing my family.	4
2034	Person talking about a situation while eating.	5
2035	Felt it after I spoke terribly (got mad at) the person who is the á most important in my life.	6
2036	Not giving up something for Lent.	7
2037	When I received my TE Score and my acceptance from University - á it had been a goal since I left the bank a year earlier.	1
2038	Every time I see a spider or a snake.	2
2039	My younger brother and I had been fighting over the TV/Video. He á kept on turning it on and off every 2 seconds and was not á listening to my authority and was being cheeky. We fought and I á ended up in tears - he'd won.	3
2040	The first time I left home.	4
2041	On a camp - boys and girls in one cabin. One guy forced himself á upon another girl and was having intercourse, while the girl in á the bunk beneath was pretending to be asleep and not be ill.	5
2042	When my new jeans split while I was with the youth group.	6
2043	When I was 17, I told Mum I came in at midnight, when really it á was 3.30.	7
2044	Can't remember specific event - besides just being moderately á happy until a year or so ago.	1
2045	Left alone in dark when young.	2
2046	Can't remember exact example.	3
2047	Close relative is dying of cancer - found out last week.	4
2048	Doctors ignored relative who complained about pain, and is now á dying of cancer.	5
2049	One of my best friends'fiancT broke off the relationship because á his feelings for me were stronger than for her. I felt the same á for him, but did not really encourage him to leave her or stay á with her - still felt shame.	6
2050	After the fact that made me ashamed I felt sadness.	4
2051	A person that eat half of a cockroach in a cake without knowing á it.	5
2052	A situation where we were the center of attention, and things á happened without my control on them, that showed our disagreement, á and ignorance.	6
2053	When I let a person assume a fault that I committed.	7
2054	When finally I found a place to live, I felt relieved, predicting á changes in my life, and I became happy.	1
2055	When I dreamed that I was being attacked by a friend.	2
2056	When I was left by the person I loved without any reason.	3
2057	To fight with a sister and to know that she doesn't care.	4
2058	To be kissed by soembody I didn't expect to.	5
2059	A day when I was getting out of the shower I covered only the á front part of my body with a towel (I was 7 years old), and I á didn't see that my cousin was in the room.	6
2060	When I finished a love affair where I was responsible of the sad á end.	7
2061	I felt it when I received a letter telling that I had been á classified in a national concourse of p... I felt happy and á vanity about it.	1
2062	I felt fear when once I was asleep and dreamed that I was dying á asfixiated by a cardiac attack, I was afraid and woke up á desperate. Altough I wasn't afraid of death I was afraid.	2
2063	I feel it when I see that somebody is traying to made a stupid of á me.	3
2064	I felt it when I was at home and saw a discussion without sense á between my parents.	4
2065	When I see all the putridness of people. The fact is the catarrh á and spits that whash the streets of S.Paulo.	5
2066	I felt it when I felt that I was being observed as an object of á pleasure (sexual) when I opened and took off a shirt in a á classroom at P.V.C.	6
2067	I felt it when playing I pushed my brother and he fell down á cutting himself in pieces of tile.	7
2068	When I asked my girlfriend to marry me.	1
2069	When I almost drowned myself in the municipal swimming pool that á I use to go almost not excaping.	2
2070	I was with my girlfriend when some guys that I don't like made á fuss at my girl.	3
2071	The death of my grandfather.	4
2072	To go through the underground way at suburb station of LAPA. Poor á people and the ambulants badly dressed up in a passage badly á kept.	5
2073	In a fight with my girlfriend in a luncheonette where everybody á stared at me in such a way that I had to leave it.	6
2074	I pointed a failure of a friend of mine.	7
2075	When I met a friend that I hadn't seen for some time.	1
2076	When I got in jungle where there was a great number of snakes.	2
2077	When an unknown person provoked me verbaly and physically.	3
2078	When my team lost a championship.	4
2079	A dirty person, smelling bad and unknown laying on me.	5
2080	I confused a girl with another.	6
2081	Once when I complained I caused a great discussion between my á parents.	7
2082	When I began to date a boy with whom I am till now. This was 16 á months ago.	1
2083	I learned that my girlfriend had been unjustly missed from work.	3
2084	I got separated from the man I loved.	4
2085	An acquaintance of mine revealed himself in a light unexpected to á me.	5
2086	Once as a school girl I was copying at a class work and my á teacher spotted me.	6
2087	I was in a sanatorium. In front of me a boy fell down from his á invalid's chair. I could help him but I didn't. I felt like being á paralysed.	7
2088	When I took my entrance exams successfully and also when I got my á school leaving certificate because the delivering ceremony was á extremely official.	1
2089	When I was to sit for my first entrance exam. I had fear of a á possible failure.	2
2090	I was indignant at the unimpartiality shown by the referees at á the football match between Bulgaria and France.	3
2091	When I got separated from the man I loved so much.	4
2092	"When I was watching some scenes from the Bertoluchi's film á \Twentieth Century\""."""	5
2093	When I was a school girl and I copied at a class work.	6
2094	When I have sometimes been unfair to my parents, when I have á happened to deceive them over some trifling things.	7
2095	When I was admitted to the Sofia University.	1
2096	When I come home late at night.	2
2097	When I talk to silly, petty-minded and unmanageable people.	3
2098	When my friend (girl) went abroad for two years.	4
2099	When I happen to witness some sadistic acts.	5
2100	When I have a plain appearance.	6
2101	When someone is accused or punished instead of me.	7
2102	I was admitted to the University and a niece was born to me.	1
2103	I was bitten by a dog.	2
2104	My grandfather's funeral.	3
2105	I was alone at home on New Year's Eve.	4
2106	I was on a walk with my child when I met a drunk woman.	5
2107	I was unaware that I had walked the streets in torn trousers.	6
2108	Once I worked as a designer. A fitter was hard hit in a damage á that occurred at the building site I had designed.	7
2109	My admittance to the University.	1
2110	A grenade blew out next to me.	2
2111	An unjust calumny concerning me.	3
2112	Unrealisation of the desired profession (aviator).	4
2113	Disgust with a subordinate.	5
2114	I lied to a friend.	6
2115	Betraying someone's trust.	7
2116	Friend's fiancT left her for me.	7
2117	Winning Queensland Chess Championship.	1
2118	When in a car accident where car was total wipe off (wipe out, or á write off).	2
2119	With self at losing an important game that I should have won.	3
2120	Death of grandfather (unexpected).	4
2121	Someone smoking on Electric train (Electric trains are á non-smoking) with alcohol smell coming from person.  	5
2122	When bathing at surf beach & lost togs.	6
2123	Promising someone to do their job and then not being able to do á it due to transport troubles.	7
2124	Receiving a very personal letter from a lady that I like, which á revealed that she was more enthusiastic about me than I had á thought possible.	1
2125	Introducing myself at a first tutorial this year at University.	2
2126	I was angry at a University tutorial when an ignorant loudmouth á persisted in trying to dominate the conversation.	3
2127	I left my home in Melbourne to come to Q'land to study and before á I hopped in the car I hugged my mother and shook hands with my á father. Sensing immediately my father's sadness, I also had a á flood of the same emotion.	4
2128	When one of my parents verbally, personally abused the other.	5
2129	I felt something akin to shame after a heavy night of drinking, á along with waking up with a woman I had just met whose husband á was an epileptic. I was later to know that she knew my mother.	6
2130	I felt guilty about talking negatively, and agreeing with a á person who was doing likewise, about a non-present third person.	7
2131	Being in love for the first time.	1
2132	As a child - stepping on a rusty nail - being told that I might á get tetanus.	2
2133	"As a child - about 8 years old - walking across a paddock - being á set upon by another boy who claimed it was \his land\"" - being á"	3
2134	As a child - having a dog - it getting a disease and dying.	4
2135	Being in a Malaysian city with my girlfriend coming out of a á picture theatre - seeing her rush up to a taxi that a very old á sick man was trying to get to. Seeing her take over the taxi.	5
2136	As a child - being sent to the shop by mother - buying some á chocolate - getting caught by mother.	6
2137	As a child - accidentally stepping on a pet guinea-pig - it á dying.	7
2138	When I achieved my first 6 at University after a long string of á 3's, 4's and 5's (7 is the highest mark awarded, 3 is a conceded á pass).	1
2139	One night going downstairs, and hearing a strong stirring of á brances, which was not the wind.	2
2140	I was informed by my flatmate that, when we'd moved into our á flat, she'd expected us to buy our food separetely - this event á actually happened some 5 months after our sharing began. Prior to á this, she had said nothing.	3
2141	Having to decide on a termination of a pregnancy, after á discussing it with friends, family and the man involved.	4
2142	When a friend didn't invite her own parents to her Graduation á ceremony.	5
2143	Saying something quite rude, but in jest, about a photograph of á someone, but it didn't quite turn out that way.	6
2144	"When I was about 14 years old, I \borrowed\"" a can of drink from á"	7
2145	When I was a child, my beloved cat gave birth to four beautiful á little kittens. Before she had them, she came up to me and I á followed her out, then witnessed them being born.	1
2146	On embarking on University life. I came from a different city and á did not know anybody at the Uni. I was frightened because my well á known and loved friends, also all my security had been taken á away.	2
2147	When my brothers were being cruel to my boyfriend, because his á flat-mate bent back one of my brother's fingers. It wasn't his á fault.	3
2148	"Upon moving away from home for the first time to a different á city, I felt no longer \under the wing\"" of my parents even though á"	4
2149	I was sitting at a rock concert, listening to an extremely loud á band. A tiny baby in a crawler had been left by his young mother, á right out in the sun next to a speaker, and was screaming - á probably in pain.	5
2150	Because I was lazy and unthoughtful I did not get into contact á with a very close friend when she shifted from the Gold Coast to á Brisbane, for a month, despite her efforts to contact me. I felt á shamed when I finally confronted her again.	6
2151	When I felt I had let my parents down, especially my mother, by á having sexual intercourse for the first time, and a few times á after that. Also, when I went on the Pill.	7
2152	The weekend after I argued with my parents I went home again and á they couldn't have been nicer. As soon as I walked in, Mum kissed á me, then Dad, and thanked me for the birthday presents I'd left á for him, including a very sentimental birthday card.	1
2153	"Before Uni started, I had to leave home and take up residence in á Brisbane (the \big smoke\"") leaving home, my family, and moving to á"	2
2154	My flatmate was asking questions about my relationship with my á boyfriend, whether I wasn't treating him as unfairly as I claimed á he'd been treating me. As a result, I was angered, and became á defensive.	3
2155	A very close friend from Victoria visited me over the holidays. á Having enjoyed his company immensely over 10 short days, I was á overwhelmed by sadness when he left to return to Victoria.á 	4
2156	One of my flatmates and I came back to the flat Monday morning, á to find a real Mess, left by the guy we share with.	5
2157	First weekend back home after one week at Uni I scolded one of my á sister's best friends for using our telephone. Very silly, but I á was annoyed because she was there at a time when I needed to be á with my family.	6
2158	"When my Bictorian \friend\"" was staying at my house we ere going á"	7
2159	Joy of giving birth, and of sharing that joy with my husband. á Moments of complete happiness and feelings of so much love.	1
2160	Attempted rape by 5 guys - held my arms behind my back and á molested me, constantly threatening to beat me. Penetration did á not occur as the driver of the car stopped that.	2
2161	Anger at doctors for their treatment of me after giving birth. á They left part of placenta behind and I bled heavily for twelve á weeks - due to this, I felt weak and emotional, and they said I á needed psychiatric treatment and give me no support.	3
2162	When my son was diagnosed as having CEREBRAL PALSY, at age 5. He á would have to endure so much labelling, stigma and discrimination, á even though his case was relatively mild.	4
2163	I have an adopted Aboriginal sister I felt disgust due to the á racism she has been subjected to.	5
2164	I can't remember ever feeling shame.	6
2165	When I decided my first marriage had ended, and left with the á child. I felt overwhelmed by guilt as I was separating mother and á child.	7
2166	Receiving notification that I had made a successful application á to the Speech Therapy course at Uni, gave me a very good feelig á of achievment and joy.	1
2167	Not included on questionnaire.	2
2168	My ex-boyfriend began to date my best friend. After they had been á seeing each other, I found out that he had been sleeping with á another girl, without my friend knowing, I told my friend what he á had been doing behind her back.	3
2169	My mother left my father for his best friend, and he moved to á Papua New Guinea. Despite the fact that I am closer to my father á than to anyone else in my family, I had to move in with my á mother, and say good-bye to my father, not knowing when I would á see him again.	4
2170	When I discovered my mother had been having an affair with my á father's best friend, and then ran away with him without even á speaking to me about what she was doing letting me come home from á school simply to find her gone. I was filled with disgust and á contempt.	5
2171	I recently became sexually involved with my sister's lover. I á care for him very much, but I am ashamed of the hurt I may cause á her.	6
2172	I once stole a shirt from the Department Store in which I work. I á have been promoted to work in a very privileged section of the á store. Their belief in my integrity makes me feel even guiltier.	7
2173	Seeing a close friend who had just returned from twelve months á overseas.	1
2174	Finding myself alone in a public toilet block with a man known to á have had great psychological disturbances.	2
2175	"After seeing an \uncertain\"" child work on a model for several á"	3
2176	Leaving home to move closer to University. As an oldest child, á this experience was traumatic for both my parents and myself.	4
2177	Viewing the results of senseless vandalism to a local primary á school.	5
2178	I slept with a man purely because I found him physically á attractive and was under the influence of alcohol.	6
2179	Inventing a fictitious series of events, as a result of which I á ended up in a conflict with my two closest friends.	7
2180	When I finished my exams after 12th Grade, I was worried about á getting a T.E. Score high enough for Physiotherapy. When I found á that I had been accepted I was ecstatic, or more appropriately, á could jump for joy.	1
2181	When going for my driver's licence for the third time, because á everything, it seemed, hinged on getting it. I was really nervous, á and the testing Officer made me a little afraid as well. There á were lots of things to worry about. I passed however.	2
2182	When a so-called friend let me down, when she promised to tell me á when a certain concert was occurring, and that she'd get me á tickets. I was really looking forward to it. She did nothing, á just told me out of the blue one day what a fantastic concert it á was going to be.	3
2183	When my family heard that my Mother's cousin who lives in á England wrote us to tell that he had cancer of the lymph glands.	4
2184	When I found out how the people of Ethiopia were starving and á their government was spending millions on celebrating being in á power so many years. Then I saw all these people on TV needing á food, etc.	5
2185	I went to visit Montrose home for crippled children to interview á a handicapped child. I interviewed two boys and it went really á well. I promised I would visit them, but never got the time. Now I á hope they've forgotten me, but I feel ashamed of letting them á down.	6
2186	I was driving my parents' car into a carpark in front of a shop á we own, and scraped the corner of the front panel on the back á corner of my father's utility. I didn't tell anyone, I lied about á the bump (later I had to confess).	7
2187	Two years ago, somebody I like very much wanted to give up his á studies. I tried to make him understand the importance of what he á was going to do, not only of the difficulty to find a job but also á because he will decrease his culture etc. This person made the á test to the college entrance examination and to our great joy we á found out that he succeded in entering at the University.	1
2188	One night, when I got out from the University I saw two strange á people near my car. When I got near, they moved away, and then á came close again. I had a feeling that they were assaulters. á After I left I discovered that the windshield was broken.	2
2189	One day in a crossroad somebody crashed my car. I got out and á this person laughed at me. I felt such a great anger that I got á in my car and went away.	3
2190	I don't know why suddenly I thought that what I was feeling for á my boyfriend was not really love. After almost three years being á together, this matter of fact shaked me and I felt a great sorrow á that I can call sadness.	4
2191	Returning home in the late afternoon I saw an indecent act made á by a man with the purpose that I saw it.	5
2192	In a school parting we agreed to go to a restaurant. á We met at school and we separated us in several cars. My car á broke and we arrived late. All those who already had arrived á stand up and applauded us when we entered two hours late. á All the restaurant attention was turned on us.	6
2193	When I was a little girl about eight years old I broke the bey á from a closed. Mother asked who did it. I said that it wasn't me, as á I almost never lied, and my brother did it more frequently in á spite my brother denieing it my mother gave him a few slaps.	7
2194	When I entered at the University.	1
2195	One night I and my friends went to the cemetery. We stopped the á car in front of the wall and suddenly the grave digger appeared á over the wall looking like a ghost. I was already afraid and á almost died.	2
2196	When one teacher unjustly gave me zero in a test saying that I á was cribbing.	3
2197	When my grandmother died.	4
2198	I went to a restaurant with my boyfriend for dinner. There we saw á a couple. the man of the couple was a negro and he hadn't manners á for eat.	5
2199	When the teacher asked me to read my composition that was the á homework I stood up and invented one because I hadn't done it. A á colleague saw that in my copy book there was nothing written and á he accused me and so I was called in the director's room.	6
2200	When I took away my best friend's boyfriend.	7
2201	When in the end of a semester I got the approval in a matter that á I judged very difficult.	1
2202	Crossing a street of several ways the cars began to move and I á thought that I was going to be trampled.	2
2203	I went to the school library and asked for a book, but the á librarian told me that there wasn't such. However when an other á colleague asked for it she gave it to him.	3
2204	Some colleagues decided to go out on a Saturday not inviting me á to decide either the place nor the time.	4
2205	A teacher giving a test was called by a student by his first á name. He (the teacher) said that he didn't give him this liberty.	5
2206	One day in the intimity with my girlfriend I had an ejaculation.	6
2207	When I answered to my mother with rudeness.	7
2208	The situation in which I felt happiest in my life was when á I was with the person I love for the first time.	1
2209	Fear of thief.	2
2210	I feel anger when somebody forbids me to do something.	3
2211	I felt sad when I was despised by another person.	4
2212	I felt disgust of dirty.	5
2213	Shame of not doing something well.	6
2214	I felt guilty when I couldn't help a person.	7
2215	When I got through the examination for my driver licence, and á when I finished I knew I had passed it.	1
2216	I was inside the car with my husband and we were assaulted with a á gun at 10 o'clock in the evening.	2
2217	When they changed my office to another room without my agreement.	3
2218	I couldn't sleep, and began to remind of my childhood. We are many á sisters and at that time we were spanked a lot and I don't know á why I started to remind of the spanks they and I had had, their á shouts when this happened.	4
2219	When I red a report in the magazine VESA about an Iranian telling á what she had lived in the prisons in Iran. I felt disgust about á that people.	5
2220	I made a comment that at the moment didn't fit.	6
2221	When my niece was 3 years old she was in the living room while we á were fixing the table for a birthday party and, as every child, á she couldn't stay calm. She burst a balloon. When I told her to á be quiet her father pinched her. I believe if I hadn't said anything á this wouldn't have happened.	7
2222	I was in ILHA GRANDE with a wonderful sun, with wonderful people, á with a wonderful sea, with a wonderful boy.	1
2223	When I was looking for a job I felt a lot of fear but the fear á was greater when I found it.	2
2224	This feeling occurred to me when my colleague entered in G.V. á (University) and I didn't.	3
2225	When I applied for the college entrance examination to FUVEST, á and I wasn't approved in the second fase.	4
2226	"I had this feeling when I met a girl, not that she was dirty but á she was to \fresh\"", dump and childish."""	5
2227	I was very fat, and was ashamed of my body.	6
2228	When my ex-boyfriend didn't want to sleep with me anymore and I á insisted. We made love but he felt very badly and I felt guilty.	7
2229	I felt happy when my mother borrowed me the car in order to let á me go out alone for the first time.	1
2230	I felt afraid when I smoked maryhuana for the first time in my á life with a lot of friends in the middle of the street at day á brake.	2
2231	I felt anger when I had a fight with my father, and he beated me. á My mother came to help me (because I was beeing beated) and he á also beated my mother.	3
2232	It happened when I lost two very intimate friends in a car á accident.	4
2233	I felt disgust of my father when I knew he had a lover.	5
2234	When my mother found out that I smoke maryhuana.	6
2235	"I felt guilty when I \stole\"" the boyfriend of a friend of mine."""	7
2236	Always when I am well succeded.	1
2237	When there is danger nearby.	2
2238	I feel anger when things don't come out as I wish.	3
2239	When I couldn't go for a trip with my friends in a holiday.	4
2240	Disgust of drunkers and of blood.	5
2241	Shame of being reprehended.	6
2242	When I shout at a colleague in classroom.	7
2243	When there was a possibility of getting on better in professional á life. I valorized very much this aspect. People showed me this á possibility, not the real fact (even because until now ...)	1
2244	When I was curious about it and went to a spiritism session with a á friend. I had already been there other times (many times when I á was younger) but that day, even if I don't believe in á spiritism I was terribly afraid that something would happen to me á (sort of incorporation !).	2
2245	When they denied a job to a person that I propsed giving political á reasons that has nothing to do directly with the professional á level.	3
2246	During an informal talk with a friend when we talk about the life á of another person, a common friend, that is in a situation of not á being able to assume certain problems that he decided to solve, á that is, she herself suggested the problems and decided to solve á them but didn't get it until the moment.	4
2247	When my friends and I were camping in a weekend, and with little á food, we met a middle age couple from a small town that invited á us to eat in their house. Their house was small, badly built with á old and dirty forniture and utensils. The problem was with pans, á and dishes, and even the food.	5
2248	When I went to meet the family of my boyfriend in a party in his á house. His mother was eager to know me and all his friends ready á to make jokes about the situation.	6
2249	When I met another person I began to go out with him, and my á boyfriend (with marriage accorded) met us together he did a great á scandal, he broke the engagement and I began to go out with the á other, and it didn't work because my mind was all mixed up.	7
2250	When I got a wedding ring of diamond from the boy I loved.	1
2251	Afraid of getting alone without friends, without anybody.	2
2252	When they stole my dark blue tennis.	3
2253	When I became conscious that men don't wnat anything they don't á have a goal. They have: sex, but this isn't important.	4
2254	When I went in a clinical hospital and saw in what conditions á people are attended there.	5
2255	In the last day of carnaval I met a boy and began to flirt with á him. I was in love with him. When he introduced me to his friends á I died of shame because I was with them before, I met my á boyfriend in carnaval.	6
2256	When I didn't pass the examinations for FUVEST I felt myself á guilty for I should have studied. I had the opportunities, and á I drew them out.	7
2257	When I met again a great friend and talked a little while with á him. When I see again another I miss.	1
2258	I feel afraid of the way a great friend looks at me, and also a á little afraid of the directions that it's going.	2
2259	"I felt anger of a friend when she met \a date\"" and become nervous á"	3
2260	When I knew almost the same day about two great friends of mine á that had serious existential crisis, and mainly when I notice á that I'm in the same situation that they are, but I didn't á realize it.	4
2261	"When some friends and I get acquainted a guy during vacations I á thought he was disgusted and \a friend\"" of mine for whom I feel a á"	5
2262	I felt shame when I had to talk with a person that I hadn't seen for á many years. Shame that he wouldn't recognize me or that I á wouldn't know what to say.	6
2263	When I wished secretly and lied to a friend of mine because I á didn't want her to stay in my house on the beach (as she always á does), and wouldn't stick on me.	7
2264	When I entered University.	1
2265	I have been afraid several times. What marked me was that I á almost didn't enter University.	2
2266	I'm crazy about football. When my team lost a goal in the Paulist á championship, and so it lost the classifications.	3
2267	When my grandmother, my second mother died.	4
2268	When a girl that I liked didn't accept my curting.	5
2269	When I had my first sexual relation and it didn't work.	6
2270	When my father had a serious fight with my sister, because of me.	7
2271	When I met a girl and asked her for a date and she agreed, (I á thought this girl would never like me), this was an emotion of á joy.	1
2272	The same fact about the girl (22 years, married - guilt - á disgust), the fear was the main factor in our relationship.	2
2273	About the car (sadness) I felt anger the way I acted after á negotiating it.	3
2274	To buy a car and didn't like the business and the car.	4
2275	I met a girl (22 years old), married. I liked her. I asked her á for a date and I kissed her. I discovered that she lived nearby á where I passed every day. I got amused thinking that her husband á would be ... or me . I didn't talked to her anymore.	5
2276	When my mother looked in my drawer (where I keep my personal á things) and she found some porno photos that I have kept from á more than a week, and split it.	6
2277	About the girl (22 years, married) I felt guilty of the á relationship.	7
2278	I felt joy when I red my name in the list of the approved in the á entrance college examination.	1
2279	I was visiting my parents in law when the house was invaded by á three strange men, and they committed an armed assault.	2
2280	Nearby the end of the year my wife and I were having a car ride, á when it appears another vehicle, driven by a drunk driver and á provokes an accident.	3
2281	To have a friend who I didn't see for months, and under the á circumstances that I met him made me feel happy, and perhaps á because it has been one of the good things that I learned with á this friend.	1
2282	"When I left a carnaval ball at 4 o'clock a.m. I was alone in a á foreign city and I had to go back home, when a guy appeared and á tried to \catch me\""."""	2
2283	The fact that I hadn't been informed about something and I had the á greatest trust in this person.	3
2284	A friend of mine lent me his apartment for holidays and besides á this he was a fine person. Months later I knew that he died á tragically in a moto accident. He was very young, and I felt sad á and couldn't believe it (until today).	4
2285	In contact with a poor family of northeast it was offered to me a á crab to eat at my request. But the fact that this crab was á prepared antihygienically and his appearence was also á antihygienically it caused me disgust but I ate it anyway.	5
2286	It was my birthday and all the members of the group made me a á surprise in a public place at 10 p.m. giving me flowers and suvenirs.	6
2287	Attending to a demand made by a client (I work in a bank) I á suggested her an application of money in a week ahead, but I á informed her wrongly. The client arrived a week after and the á application wasn't made and she lost with this a lot of time and á money.	7
2288	When, after a long time of searching I got my first job.	1
2289	After some time of work I was transferred to another place and in á an other quite harder job.	2
2290	When I used to go to my chief asking about any doubt about the job á and he didn't care, didn't answer me, leaving me speaking alone.	3
2291	When I knew that a person that I liked very much didn't react the á way I would like to, even that I knew about his feelings for me.	4
2292	When I knew that a person who I didn't like, had about me other á feelings.	5
2293	After lot of explanation, to fail in my work.	6
2294	My brother and I were at home watching a TV program when I á started to tease  him and in this joke I hurt him without á knowing the seriousness of it I went on. He got angry and gave it á back to me. At this moment I felt anger at him but knowing that á it was my fault.	7
2295	When a person that I like very much got near to me.	1
2296	I was at home alone, and heard noises on the roof, and doorknobs, á and drawers.	2
2297	When a person is privileged in account of situations that are á unjust, and disloyal to colleagues and friends.	3
2298	When I was betrayed by a friend, and decided to stay apart form á her.	4
2299	After a serie of facts that occurred between a colleague and me I á started to feel a certain necessity to get apart and I didn't want á to see her anymore.	5
2300	I went to study in a public library but I didn't know it well. I á got a book and wanted to study hearing music. Then I went to a á place were I could do it, but when I passed by a door a bell rang á and a man came saying that I couldn't leave with the book.	6
2301	I broke the gutar of a colleague but as it happened in a moment á when nobody was present I could escape from the guilt.	7
2302	I made the college entrance examinations for P.U.C. It was what I á wanted more. When the first list came out I got frustrated. I á wasn't in. When the second list came out without hopes I started á to read the newspaper and my name was thre. I was in the bus and á felt like crying so that everybody could hear me. The cry was hold, á and 1982 became forever a mask in my life.	1
2303	I remember when I was a child of a storm that made me terribly á afraid. I thought that the house was coming down and that in the á next day I would be dead. Everybody was awake and I stayed all á night in bed without falling asleep.	2
2304	Once in my work it happened a fight between the person in charge and me. I á got so angry and spoke out everything I felt at the moment.	3
2305	I remember the day my father died. I was 11 years old and my á sadness was so great that until today I remember everything á about that day, from the clothes I was wearing to the reactions of people, á the despair of my mother and brother. It marked me a lot and was á the greatest sadness I felt.	4
2306	I was sitting in school, waiting for my sister to go home. Suddenly a á boy put fire in a paper and threw it were I was sitting. The á paper didn't get me, but I felt terribly disgusted at this á cowardliness and irresponsibility that caused a great á discussion. We went to the director and he, drunk as always, said á that I was ... attention in school. I felt disgust of this á situation, and of the persons implicated in it.	5
2307	Some times I was ashamed of presenting seminaries or even to á speak in class.	6
2308	In adolescence I had a very violent fight with my sister I hold á her stong in her neck, she had a throat surgery what make me feel á guilty about the future reactions she might had injuring the á surgery.	7
2309	The day I received the key of my apartment and we could enter in á it, for my fiancT and I had bought it yet in plans, and it seemed á to us that this was almost impossible to happen.	1
2310	I had a driver licence but I didn't drive for a long time, than I á started to drive again, and had to get into hard transit and á highways.	2
2311	When my boss cut off my vacations saying that in that month it á wouldn't be possible, and after some time he let another girl á take vacations that month. The anger was because of the á resentment. Resulting from our bad relationship.	3
2312	My fiancT's family was adopting a 5 years old boy. I felt á myself close to him as I never felt before. After some time his á mother demanded the care of the kid and we were obliged to send á him back.	4
2313	There is a girl at my work that doesn't take care much of her á hygiene she comes always with her hair oiled, a not very agreable á smell, and a bad appearance. Beside this she tries to be nice.	5
2314	A day I was with my boyfriend and a couple of friends in a bar, á and he said something that I didn't like (I don't remember what). á Without thinking I slept him in his back, getting ashamed and á sorry just after.	6
2315	"When I was starting in romance with my husband, we went out to á curt, and we stayed in the car \making love\"". At the time I was á"	7
2316	It was when a friend took me to a place and gave me as a gift my á astrologycal map with the explanations of a psychologist.	1
2317	When I was dreaming that I was being chased, in the upmost of á horror the door of the closed felt down synchronicaly with the á dream scare.	2
2318	When my mother slapped me in the face, I felt anger at that á moment.	3
2319	When I deeply felt that I could lose the person I love best á because of my foolishness.	4
2320	I felt disgust toward meat when I felt sick with the steak after á a week only on meat.	5
2321	When I had to act alone a character for a public (40 people).	6
2322	When I stared to much at a pastry that a woman was eating and at á the same instant the pastry felt on the floor.	7
2323	In a day when at work, in school, and relationships came out as I á wanted, and I was recognized in my work.	1
2324	When I woke up in the middle of the night because of a dream, it á wasn't a nightmare, it was an uninteligible dream in wich I woke á because of a certain end.	2
2325	When I was robbed in a bus.	3
2326	When I try to get closer at a person and she misinterpreted me.	4
2327	When I felt the smell of industries that pollute.	5
2328	When somebody I knew greeted me and started to talk with me and I á didn't know, I couldn't remember who he was.	6
2329	When I unjustly accused a person of my family of something she á didn't really do.	7
2330	I was travelling in the South of Brasil, near the end of the á year. I was well settled with 3 friends. At the evening of 31 M., á somebody, also with us, took from his purse pints of all colours, á and the 4 of us, and other friends, that were at the same beach, á painted each other and we went to the beach with champagne.	1
2331	I was walking from my friend's house, a few blocks from my house, when a á car began to follow me. He waited I passed by it rotateed a little and á stopped on my way. I changed completely my way and the car went á on following me until I turned at a corner and running I hid in a á garden of a house, waiting for the car to pass by. I went back home á terribly afraid.	2
2332	One day I lent my tennis I just had washed to my sister because á she asked it. I asked her not to soil it as I had just washed it. á Next day I looked at the tennis, and it was dirty with wax. She á could not have soiled it. It was lack of consideration. I felt á very angry.	3
2333	The second time I went to the entrance exam to V.S.P. and á didn't get approved.	4
2334	I was travelling, we were 15 person, one of them I met at the á travel and didn't like her. One night I was asleep while she and á her friends were talking too loud in the kitchen. I got up to ask for á silence and since that day I felt constant disgust for her.	5
2335	I was working in I. when a friend of mine borrowed his car so I á could get bach there, I had to come to S.Paulo and his car was á here. He said :\When you get the car tell my mother that you are á	6
2336	I had a date with a boy, but I didn't feel liked, and didn't go, á I wasn't home purposely at the time we arranged.	7
2337	A friend of mine that is abroad undertook recently an axam to á enter on University in Dallas, and was approved.	1
2338	I felt afraid of losing somebody I love to another person because á I was an incomprehensive person and lots of time I fight with á this person.	2
2339	In certain occasion I have a fight with my boyfriend. During the á fight I closed the door at his face. He went away but came back á next day.	3
2340	Last year, when I took the college entrance examinations I á failed the FUVEST. It was for me the most frustrating situation á because I had studied all year long, and only thought about this.	4
2341	In a certain occasion I saw a dog in the street eating something á so strange gooey that I wasn't able to eat lunch because I á remembered the scene all the time.	5
2342	I had never made a malicious joke in front of my boyfriend. Last á week I did it I was funny, he loved it, and I died of shame.	6
